field,service,validation,component,action,complexity
13,3,20,6,1,SimpleMedium
13,4,11,5,1,SimpleMedium
13,4,11,6,1,SimpleMedium
13,4,12,5,1,SimpleMedium
13,4,12,6,1,SimpleMedium
13,4,13,5,1,SimpleMedium
13,4,13,6,1,SimpleMedium
13,4,14,5,1,SimpleMedium
13,4,14,6,1,SimpleMedium
13,4,15,5,1,SimpleMedium
13,4,15,6,1,SimpleMedium
13,4,16,5,1,SimpleMedium
13,4,16,6,1,SimpleMedium
13,4,17,5,1,SimpleMedium
13,4,17,6,1,SimpleMedium
13,4,18,5,1,SimpleMedium
13,4,18,6,1,SimpleMedium
13,4,19,5,1,SimpleMedium
13,4,19,6,1,SimpleMedium
13,4,20,5,1,SimpleMedium
13,4,20,6,1,SimpleMedium
13,5,11,5,1,SimpleMedium
13,5,11,6,1,SimpleMedium
13,5,12,5,1,SimpleMedium
13,5,12,6,1,SimpleMedium
13,5,13,5,1,SimpleMedium
13,5,13,6,1,SimpleMedium
13,5,14,5,1,SimpleMedium
13,5,14,6,1,SimpleMedium
13,5,15,5,1,SimpleMedium
13,5,15,6,1,SimpleMedium
13,5,16,5,1,SimpleMedium
13,5,16,6,1,SimpleMedium
13,5,17,5,1,SimpleMedium
13,5,17,6,1,SimpleMedium
13,5,18,5,1,SimpleMedium
13,5,18,6,1,SimpleMedium
13,5,19,5,1,SimpleMedium
13,5,19,6,1,SimpleMedium
13,5,20,5,1,SimpleMedium
13,5,20,6,1,SimpleMedium
14,3,11,5,1,SimpleMedium
14,3,11,6,1,SimpleMedium
14,3,12,5,1,SimpleMedium
14,3,12,6,1,SimpleMedium
14,3,13,5,1,SimpleMedium
14,3,13,6,1,SimpleMedium
14,3,14,5,1,SimpleMedium
14,3,14,6,1,SimpleMedium
14,3,15,5,1,SimpleMedium
14,3,15,6,1,SimpleMedium
14,3,16,5,1,SimpleMedium
14,3,16,6,1,SimpleMedium
14,3,17,5,1,SimpleMedium
14,3,17,6,1,SimpleMedium
14,3,18,5,1,SimpleMedium
14,3,18,6,1,SimpleMedium
14,3,19,5,1,SimpleMedium
14,3,19,6,1,SimpleMedium
14,3,20,5,1,SimpleMedium
14,3,20,6,1,SimpleMedium
14,4,11,5,1,SimpleMedium
14,4,11,6,1,SimpleMedium
14,4,12,5,1,SimpleMedium
14,4,12,6,1,SimpleMedium
14,4,13,5,1,SimpleMedium
14,4,13,6,1,SimpleMedium
14,4,14,5,1,SimpleMedium
14,4,14,6,1,SimpleMedium
14,4,15,5,1,SimpleMedium
14,4,15,6,1,SimpleMedium
14,4,16,5,1,SimpleMedium
14,4,16,6,1,SimpleMedium
14,4,17,5,1,SimpleMedium
14,4,17,6,1,SimpleMedium
14,4,18,5,1,SimpleMedium
14,4,18,6,1,SimpleMedium
14,4,19,5,1,SimpleMedium
14,4,19,6,1,SimpleMedium
14,4,20,5,1,SimpleMedium
14,4,20,6,1,SimpleMedium
14,5,11,5,1,SimpleMedium
14,5,11,6,1,SimpleMedium
14,5,12,5,1,SimpleMedium
14,5,12,6,1,SimpleMedium
14,5,13,5,1,SimpleMedium
14,5,13,6,1,SimpleMedium
14,5,14,5,1,SimpleMedium
14,5,14,6,1,SimpleMedium
14,5,15,5,1,SimpleMedium
14,5,15,6,1,SimpleMedium
14,5,16,5,1,SimpleMedium
14,5,16,6,1,SimpleMedium
14,5,17,5,1,SimpleMedium
14,5,17,6,1,SimpleMedium
14,5,18,5,1,SimpleMedium
14,5,18,6,1,SimpleMedium
14,5,19,5,1,SimpleMedium
14,5,19,6,1,SimpleMedium
14,5,20,5,1,SimpleMedium
14,5,20,6,1,SimpleMedium
15,3,11,5,1,SimpleMedium
15,3,11,6,1,SimpleMedium
15,3,12,5,1,SimpleMedium
15,3,12,6,1,SimpleMedium
15,3,13,5,1,SimpleMedium
15,3,13,6,1,SimpleMedium
15,3,14,5,1,SimpleMedium
15,3,14,6,1,SimpleMedium
15,3,15,5,1,SimpleMedium
15,3,15,6,1,SimpleMedium
15,3,16,5,1,SimpleMedium
15,3,16,6,1,SimpleMedium
15,3,17,5,1,SimpleMedium
15,3,17,6,1,SimpleMedium
15,3,18,5,1,SimpleMedium
15,3,18,6,1,SimpleMedium
15,3,19,5,1,SimpleMedium
15,3,19,6,1,SimpleMedium
15,3,20,5,1,SimpleMedium
15,3,20,6,1,SimpleMedium
15,4,11,5,1,SimpleMedium
15,4,11,6,1,SimpleMedium
15,4,12,5,1,SimpleMedium
15,4,12,6,1,SimpleMedium
15,4,13,5,1,SimpleMedium
15,4,13,6,1,SimpleMedium
15,4,14,5,1,SimpleMedium
15,4,14,6,1,SimpleMedium
15,4,15,5,1,SimpleMedium
15,4,15,6,1,SimpleMedium
15,4,16,5,1,SimpleMedium
15,4,16,6,1,SimpleMedium
15,4,17,5,1,SimpleMedium
15,4,17,6,1,SimpleMedium
15,4,18,5,1,SimpleMedium
15,4,18,6,1,SimpleMedium
15,4,19,5,1,SimpleMedium
15,4,19,6,1,SimpleMedium
15,4,20,5,1,SimpleMedium
15,4,20,6,1,SimpleMedium
15,5,11,5,1,SimpleMedium
15,5,11,6,1,SimpleMedium
15,5,12,5,1,SimpleMedium
15,5,12,6,1,SimpleMedium
15,5,13,5,1,SimpleMedium
15,5,13,6,1,SimpleMedium
15,5,14,5,1,SimpleMedium
15,5,14,6,1,SimpleMedium
15,5,15,5,1,SimpleMedium
15,5,15,6,1,SimpleMedium
15,5,16,5,1,SimpleMedium
15,5,16,6,1,SimpleMedium
15,5,17,5,1,SimpleMedium
15,5,17,6,1,SimpleMedium
15,5,18,5,1,SimpleMedium
15,5,18,6,1,SimpleMedium
15,5,19,5,1,SimpleMedium
15,5,19,6,1,SimpleMedium
15,5,20,5,1,SimpleMedium
15,5,20,6,1,SimpleMedium
16,3,11,5,1,SimpleMedium
16,3,11,6,1,SimpleMedium
16,3,12,5,1,SimpleMedium
16,3,12,6,1,SimpleMedium
16,3,13,5,1,SimpleMedium
16,3,13,6,1,SimpleMedium
16,3,14,5,1,SimpleMedium
16,3,14,6,1,SimpleMedium
16,3,15,5,1,SimpleMedium
16,3,15,6,1,SimpleMedium
16,3,16,5,1,SimpleMedium
16,3,16,6,1,SimpleMedium
16,3,17,5,1,SimpleMedium
16,3,17,6,1,SimpleMedium
16,3,18,5,1,SimpleMedium
16,3,18,6,1,SimpleMedium
16,3,19,5,1,SimpleMedium
16,3,19,6,1,SimpleMedium
16,3,20,5,1,SimpleMedium
16,3,20,6,1,SimpleMedium
16,4,11,5,1,SimpleMedium
16,4,11,6,1,SimpleMedium
16,4,12,5,1,SimpleMedium
16,4,12,6,1,SimpleMedium
16,4,13,5,1,SimpleMedium
16,4,13,6,1,SimpleMedium
16,4,14,5,1,SimpleMedium
16,4,14,6,1,SimpleMedium
16,4,15,5,1,SimpleMedium
16,4,15,6,1,SimpleMedium
16,4,16,5,1,SimpleMedium
16,4,16,6,1,SimpleMedium
16,4,17,5,1,SimpleMedium
16,4,17,6,1,SimpleMedium
16,4,18,5,1,SimpleMedium
16,4,18,6,1,SimpleMedium
16,4,19,5,1,SimpleMedium
16,4,19,6,1,SimpleMedium
16,4,20,5,1,SimpleMedium
16,4,20,6,1,SimpleMedium
16,5,11,5,1,SimpleMedium
16,5,11,6,1,SimpleMedium
16,5,12,5,1,SimpleMedium
16,5,12,6,1,SimpleMedium
16,5,13,5,1,SimpleMedium
16,5,13,6,1,SimpleMedium
16,5,14,5,1,SimpleMedium
16,5,14,6,1,SimpleMedium
16,5,15,5,1,SimpleMedium
16,5,15,6,1,SimpleMedium
16,5,16,5,1,SimpleMedium
16,5,16,6,1,SimpleMedium
16,5,17,5,1,SimpleMedium
16,5,17,6,1,SimpleMedium
16,5,18,5,1,SimpleMedium
16,5,18,6,1,SimpleMedium
16,5,19,5,1,SimpleMedium
16,5,19,6,1,SimpleMedium
16,5,20,5,1,SimpleMedium
16,5,20,6,1,SimpleMedium
17,3,11,5,1,SimpleMedium
17,3,11,6,1,SimpleMedium
17,3,12,5,1,SimpleMedium
17,3,12,6,1,SimpleMedium
17,3,13,5,1,SimpleMedium
17,3,13,6,1,SimpleMedium
17,3,14,5,1,SimpleMedium
17,3,14,6,1,SimpleMedium
17,3,15,5,1,SimpleMedium
17,3,15,6,1,SimpleMedium
17,3,16,5,1,SimpleMedium
17,3,16,6,1,SimpleMedium
17,3,17,5,1,SimpleMedium
17,3,17,6,1,SimpleMedium
17,3,18,5,1,SimpleMedium
17,3,18,6,1,SimpleMedium
17,3,19,5,1,SimpleMedium
17,3,19,6,1,SimpleMedium
17,3,20,5,1,SimpleMedium
17,3,20,6,1,SimpleMedium
17,4,11,5,1,SimpleMedium
17,4,11,6,1,SimpleMedium
17,4,12,5,1,SimpleMedium
17,4,12,6,1,SimpleMedium
17,4,13,5,1,SimpleMedium
17,4,13,6,1,SimpleMedium
17,4,14,5,1,SimpleMedium
17,4,14,6,1,SimpleMedium
17,4,15,5,1,SimpleMedium
17,4,15,6,1,SimpleMedium
17,4,16,5,1,SimpleMedium
17,4,16,6,1,SimpleMedium
17,4,17,5,1,SimpleMedium
17,4,17,6,1,SimpleMedium
17,4,18,5,1,SimpleMedium
17,4,18,6,1,SimpleMedium
17,4,19,5,1,SimpleMedium
17,4,19,6,1,SimpleMedium
17,4,20,5,1,SimpleMedium
17,4,20,6,1,SimpleMedium
17,5,11,5,1,SimpleMedium
17,5,11,6,1,SimpleMedium
17,5,12,5,1,SimpleMedium
17,5,12,6,1,SimpleMedium
17,5,13,5,1,SimpleMedium
17,5,13,6,1,SimpleMedium
17,5,14,5,1,SimpleMedium
17,5,14,6,1,SimpleMedium
17,5,15,5,1,SimpleMedium
17,5,15,6,1,SimpleMedium
17,5,16,5,1,SimpleMedium
17,5,16,6,1,SimpleMedium
17,5,17,5,1,SimpleMedium
17,5,17,6,1,SimpleMedium
17,5,18,5,1,SimpleMedium
17,5,18,6,1,SimpleMedium
17,5,19,5,1,SimpleMedium
17,5,19,6,1,SimpleMedium
17,5,20,5,1,SimpleMedium
17,5,20,6,1,SimpleMedium
18,3,11,5,1,SimpleMedium
18,3,11,6,1,SimpleMedium
18,3,12,5,1,SimpleMedium
18,3,12,6,1,SimpleMedium
18,3,13,5,1,SimpleMedium
18,3,13,6,1,SimpleMedium
18,3,14,5,1,SimpleMedium
18,3,14,6,1,SimpleMedium
18,3,15,5,1,SimpleMedium
18,3,15,6,1,SimpleMedium
18,3,16,5,1,SimpleMedium
18,3,16,6,1,SimpleMedium
18,3,17,5,1,SimpleMedium
18,3,17,6,1,SimpleMedium
18,3,18,5,1,SimpleMedium
18,3,18,6,1,SimpleMedium
18,3,19,5,1,SimpleMedium
18,3,19,6,1,SimpleMedium
18,3,20,5,1,SimpleMedium
18,3,20,6,1,SimpleMedium
18,4,11,5,1,SimpleMedium
18,4,11,6,1,SimpleMedium
18,4,12,5,1,SimpleMedium
18,4,12,6,1,SimpleMedium
18,4,13,5,1,SimpleMedium
18,4,13,6,1,SimpleMedium
18,4,14,5,1,SimpleMedium
18,4,14,6,1,SimpleMedium
18,4,15,5,1,SimpleMedium
18,4,15,6,1,SimpleMedium
18,4,16,5,1,SimpleMedium
18,4,16,6,1,SimpleMedium
18,4,17,5,1,SimpleMedium
18,4,17,6,1,SimpleMedium
18,4,18,5,1,SimpleMedium
18,4,18,6,1,SimpleMedium
18,4,19,5,1,SimpleMedium
18,4,19,6,1,SimpleMedium
18,4,20,5,1,SimpleMedium
18,4,20,6,1,SimpleMedium
18,5,11,5,1,SimpleMedium
18,5,11,6,1,SimpleMedium
18,5,12,5,1,SimpleMedium
18,5,12,6,1,SimpleMedium
18,5,13,5,1,SimpleMedium
18,5,13,6,1,SimpleMedium
18,5,14,5,1,SimpleMedium
18,5,14,6,1,SimpleMedium
18,5,15,5,1,SimpleMedium
18,5,15,6,1,SimpleMedium
18,5,16,5,1,SimpleMedium
18,5,16,6,1,SimpleMedium
18,5,17,5,1,SimpleMedium
18,5,17,6,1,SimpleMedium
18,5,18,5,1,SimpleMedium
18,5,18,6,1,SimpleMedium
18,5,19,5,1,SimpleMedium
18,5,19,6,1,SimpleMedium
18,5,20,5,1,SimpleMedium
18,5,20,6,1,SimpleMedium
19,3,11,5,1,SimpleMedium
19,3,11,6,1,SimpleMedium
19,3,12,5,1,SimpleMedium
19,3,12,6,1,SimpleMedium
19,3,13,5,1,SimpleMedium
19,3,13,6,1,SimpleMedium
19,3,14,5,1,SimpleMedium
19,3,14,6,1,SimpleMedium
19,3,15,5,1,SimpleMedium
19,3,15,6,1,SimpleMedium
19,3,16,5,1,SimpleMedium
19,3,16,6,1,SimpleMedium
19,3,17,5,1,SimpleMedium
19,3,17,6,1,SimpleMedium
19,3,18,5,1,SimpleMedium
19,3,18,6,1,SimpleMedium
19,3,19,5,1,SimpleMedium
19,3,19,6,1,SimpleMedium
19,3,20,5,1,SimpleMedium
19,3,20,6,1,SimpleMedium
19,4,11,5,1,SimpleMedium
19,4,11,6,1,SimpleMedium
19,4,12,5,1,SimpleMedium
19,4,12,6,1,SimpleMedium
19,4,13,5,1,SimpleMedium
19,4,13,6,1,SimpleMedium
19,4,14,5,1,SimpleMedium
19,4,14,6,1,SimpleMedium
19,4,15,5,1,SimpleMedium
19,4,15,6,1,SimpleMedium
19,4,16,5,1,SimpleMedium
19,4,16,6,1,SimpleMedium
19,4,17,5,1,SimpleMedium
19,4,17,6,1,SimpleMedium
19,4,18,5,1,SimpleMedium
19,4,18,6,1,SimpleMedium
19,4,19,5,1,SimpleMedium
19,4,19,6,1,SimpleMedium
19,4,20,5,1,SimpleMedium
19,4,20,6,1,SimpleMedium
19,5,11,5,1,SimpleMedium
19,5,11,6,1,SimpleMedium
19,5,12,5,1,SimpleMedium
19,5,12,6,1,SimpleMedium
19,5,13,5,1,SimpleMedium
19,5,13,6,1,SimpleMedium
19,5,14,5,1,SimpleMedium
19,5,14,6,1,SimpleMedium
19,5,15,5,1,SimpleMedium
19,5,15,6,1,SimpleMedium
19,5,16,5,1,SimpleMedium
19,5,16,6,1,SimpleMedium
19,5,17,5,1,SimpleMedium
19,5,17,6,1,SimpleMedium
19,5,18,5,1,SimpleMedium
19,5,18,6,1,SimpleMedium
19,5,19,5,1,SimpleMedium
19,5,19,6,1,SimpleMedium
19,5,20,5,1,SimpleMedium
19,5,20,6,1,SimpleMedium
20,3,11,5,1,SimpleMedium
20,3,11,6,1,SimpleMedium
20,3,12,5,1,SimpleMedium
20,3,12,6,1,SimpleMedium
20,3,13,5,1,SimpleMedium
20,3,13,6,1,SimpleMedium
20,3,14,5,1,SimpleMedium
20,3,14,6,1,SimpleMedium
20,3,15,5,1,SimpleMedium
20,3,15,6,1,SimpleMedium
20,3,16,5,1,SimpleMedium
20,3,16,6,1,SimpleMedium
20,3,17,5,1,SimpleMedium
20,3,17,6,1,SimpleMedium
20,3,18,5,1,SimpleMedium
20,3,18,6,1,SimpleMedium
20,3,19,5,1,SimpleMedium
20,3,19,6,1,SimpleMedium
20,3,20,5,1,SimpleMedium
20,3,20,6,1,SimpleMedium
20,4,11,5,1,SimpleMedium
20,4,11,6,1,SimpleMedium
20,4,12,5,1,SimpleMedium
20,4,12,6,1,SimpleMedium
20,4,13,5,1,SimpleMedium
20,4,13,6,1,SimpleMedium
20,4,14,5,1,SimpleMedium
20,4,14,6,1,SimpleMedium
20,4,15,5,1,SimpleMedium
20,4,15,6,1,SimpleMedium
20,4,16,5,1,SimpleMedium
20,4,16,6,1,SimpleMedium
20,4,17,5,1,SimpleMedium
20,4,17,6,1,SimpleMedium
20,4,18,5,1,SimpleMedium
20,4,18,6,1,SimpleMedium
20,4,19,5,1,SimpleMedium
20,4,19,6,1,SimpleMedium
20,4,20,5,1,SimpleMedium
20,4,20,6,1,SimpleMedium
20,5,11,5,1,SimpleMedium
20,5,11,6,1,SimpleMedium
20,5,12,5,1,SimpleMedium
20,5,12,6,1,SimpleMedium
20,5,13,5,1,SimpleMedium
20,5,13,6,1,SimpleMedium
20,5,14,5,1,SimpleMedium
20,5,14,6,1,SimpleMedium
20,5,15,5,1,SimpleMedium
20,5,15,6,1,SimpleMedium
20,5,16,5,1,SimpleMedium
20,5,16,6,1,SimpleMedium
20,5,17,5,1,SimpleMedium
20,5,17,6,1,SimpleMedium
20,5,18,5,1,SimpleMedium
20,5,18,6,1,SimpleMedium
20,5,19,5,1,SimpleMedium
20,5,19,6,1,SimpleMedium
20,5,20,5,1,SimpleMedium
20,5,20,6,1,SimpleMedium
21,6,21,8,2,Medium
21,6,21,9,2,Medium
21,6,21,10,2,Medium
21,6,22,8,2,Medium
21,6,22,9,2,Medium
21,6,22,10,2,Medium
21,6,23,8,2,Medium
21,6,23,9,2,Medium
21,6,23,10,2,Medium
21,6,24,8,2,Medium
21,6,24,9,2,Medium
21,6,24,10,2,Medium
21,6,25,8,2,Medium
21,6,25,9,2,Medium
21,6,25,10,2,Medium
21,6,26,8,2,Medium
21,6,26,9,2,Medium
21,6,26,10,2,Medium
21,6,27,8,2,Medium
21,6,27,9,2,Medium
21,6,27,10,2,Medium
21,6,28,8,2,Medium
21,6,28,9,2,Medium
21,6,28,10,2,Medium
21,6,29,8,2,Medium
21,6,29,9,2,Medium
21,6,29,10,2,Medium
21,6,30,8,2,Medium
21,6,30,9,2,Medium
21,6,30,10,2,Medium
21,7,21,8,2,Medium
21,7,21,9,2,Medium
21,7,21,10,2,Medium
21,7,22,8,2,Medium
21,7,22,9,2,Medium
21,7,22,10,2,Medium
21,7,23,8,2,Medium
21,7,23,9,2,Medium
21,7,23,10,2,Medium
21,7,24,8,2,Medium
21,7,24,9,2,Medium
21,7,24,10,2,Medium
21,7,25,8,2,Medium
21,7,25,9,2,Medium
21,7,25,10,2,Medium
21,7,26,8,2,Medium
21,7,26,9,2,Medium
21,7,26,10,2,Medium
21,7,27,8,2,Medium
21,7,27,9,2,Medium
21,7,27,10,2,Medium
21,7,28,8,2,Medium
21,7,28,9,2,Medium
21,7,28,10,2,Medium
21,7,29,8,2,Medium
21,7,29,9,2,Medium
21,7,29,10,2,Medium
21,7,30,8,2,Medium
21,7,30,9,2,Medium
21,7,30,10,2,Medium
22,6,21,8,2,Medium
22,6,21,9,2,Medium
22,6,21,10,2,Medium
22,6,22,8,2,Medium
22,6,22,9,2,Medium
22,6,22,10,2,Medium
22,6,23,8,2,Medium
22,6,23,9,2,Medium
22,6,23,10,2,Medium
22,6,24,8,2,Medium
22,6,24,9,2,Medium
22,6,24,10,2,Medium
22,6,25,8,2,Medium
22,6,25,9,2,Medium
22,6,25,10,2,Medium
22,6,26,8,2,Medium
22,6,26,9,2,Medium
22,6,26,10,2,Medium
22,6,27,8,2,Medium
22,6,27,9,2,Medium
22,6,27,10,2,Medium
22,6,28,8,2,Medium
22,6,28,9,2,Medium
22,6,28,10,2,Medium
22,6,29,8,2,Medium
22,6,29,9,2,Medium
22,6,29,10,2,Medium
22,6,30,8,2,Medium
22,6,30,9,2,Medium
22,6,30,10,2,Medium
22,7,21,8,2,Medium
22,7,21,9,2,Medium
22,7,21,10,2,Medium
22,7,22,8,2,Medium
22,7,22,9,2,Medium
22,7,22,10,2,Medium
22,7,23,8,2,Medium
22,7,23,9,2,Medium
22,7,23,10,2,Medium
22,7,24,8,2,Medium
22,7,24,9,2,Medium
22,7,24,10,2,Medium
22,7,25,8,2,Medium
22,7,25,9,2,Medium
22,7,25,10,2,Medium
22,7,26,8,2,Medium
22,7,26,9,2,Medium
22,7,26,10,2,Medium
22,7,27,8,2,Medium
22,7,27,9,2,Medium
22,7,27,10,2,Medium
22,7,28,8,2,Medium
22,7,28,9,2,Medium
22,7,28,10,2,Medium
22,7,29,8,2,Medium
22,7,29,9,2,Medium
22,7,29,10,2,Medium
22,7,30,8,2,Medium
22,7,30,9,2,Medium
22,7,30,10,2,Medium
23,6,21,8,2,Medium
23,6,21,9,2,Medium
23,6,21,10,2,Medium
23,6,22,8,2,Medium
23,6,22,9,2,Medium
23,6,22,10,2,Medium
23,6,23,8,2,Medium
23,6,23,9,2,Medium
23,6,23,10,2,Medium
23,6,24,8,2,Medium
23,6,24,9,2,Medium
23,6,24,10,2,Medium
23,6,25,8,2,Medium
23,6,25,9,2,Medium
23,6,25,10,2,Medium
23,6,26,8,2,Medium
23,6,26,9,2,Medium
23,6,26,10,2,Medium
23,6,27,8,2,Medium
23,6,27,9,2,Medium
23,6,27,10,2,Medium
